graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,sparsify_time,metric_time
undirected7.edgelist,undirected,k_neighbor,0.2,14,14,11,0.7857142857142857,True,False,107.49600000000001,inf,0.6153846153846154,1.3961992050431669,1.6595153607437123,7.764128494943487,15182.227232453999,9647.773516377998,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.5,0.42857142857142855,0.07142857142857142,,,,0.0007180860002335976,0.0005308500003593508
undirected7.edgelist,undirected,local_degree,0.2,14,14,11,0.7857142857142857,True,False,107.49600000000001,inf,0.6703296703296703,1.2443856553726527,0.19102823113851594,2.619334234123572,15182.227232453999,12885.940596200999,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.5,0.42857142857142855,0.07142857142857142,,,,0.00011154200001328718,0.0004961539998475928
undirected7.edgelist,undirected,mst,0.2,14,14,13,0.9285714285714286,True,True,107.49600000000001,107.49600000000001,0.0,1.0,0.0,1.0,15182.227232453999,13412.869196204,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.21428571428571427,0.7142857142857143,0.07142857142857142,,,,8.159499975590734e-05,0.0006531019998874399
undirected7.edgelist,undirected,t_spanner,0.2,14,14,13,0.9285714285714286,True,True,107.49600000000001,107.49600000000001,0.0,1.0,0.0,1.0,15182.227232453999,13412.869196204,0.21428571428571427,0.5714285714285714,0.21428571428571427,,,,,0.21428571428571427,0.7142857142857143,0.07142857142857142,,,,0.00017679699976724805,0.0006963749992792145
undirected8.edgelist,undirected,original,0.2,20,29,,1.0,True,True,73.084,73.084,0.0,1.0,0.0,1.0,175892.68092843005,175892.68092843005,0.25,0.2,0.2,0.15,0.15,0.05,,0.25,0.2,0.2,0.15,0.15,0.05,,0.0015245009999489412
undirected8.edgelist,undirected,kols,0.2,20,29,19,0.6551724137931034,True,True,73.084,83.62100000000001,0.0,1.135314138779954,0.084608634900855,2.8017390150006634,175892.68092843005,131591.53304712402,0.25,0.2,0.2,0.15,0.15,0.05,,0.45,0.2,0.35,,,,0.0003250579993618885,0.001362943000458472
undirected8.edgelist,undirected,random,0.2,20,29,7,0.2413793103448276,True,False,73.084,inf,0.9473684210526315,27.993589310762154,5659.488012991578,253.24770642201835,175892.68092843005,66996.824107311,0.25,0.2,0.2,0.15,0.15,0.05,0.4,0.5,0.1,,,,,5.0284999815630727e-05,0.0008802339998510433
undirected8.edgelist,undirected,k_neighbor,0.2,20,29,16,0.5517241379310345,True,False,73.084,inf,0.7526315789473684,7.313195296343722,1021.3101378431761,222.35779816513764,175892.68092843005,134817.37829348503,0.25,0.2,0.2,0.15,0.15,0.05,,0.6,0.2,0.2,,,,0.000856559999192541,0.0010546670000621816
undirected8.edgelist,undirected,local_degree,0.2,20,29,19,0.6551724137931034,True,True,73.084,94.46600000000001,0.0,2.374965677936905,110.76078919346352,145.85321100917432,175892.68092843005,137692.86423364002,0.25,0.2,0.2,0.15,0.15,0.05,,0.45,0.35,0.15,,,0.05,0.00016493399925820995,0.001358594000521407
undirected8.edgelist,undirected,mst,0.2,20,29,19,0.6551724137931034,True,True,73.084,83.62100000000001,0.0,1.135314138779954,0.084608634900855,2.8017390150006634,175892.68092843005,131591.53304712402,0.25,0.2,0.2,0.15,0.15,0.05,,0.45,0.2,0.35,,,,0.00011954799992963672,0.0013471619995470974
undirected8.edgelist,undirected,t_spanner,0.2,20,29,21,0.7241379310344828,True,True,73.084,81.78200000000001,0.0,1.0275595751098425,0.00608490860964254,1.4756644427430818,175892.68092843005,144034.45044008803,0.25,0.2,0.2,0.15,0.15,0.05,,0.3,0.3,0.4,,,,0.00034872400010499405,0.0014003839996803435
undirected9.edgelist,undirected,original,0.2,19,22,,1.0,True,True,106.714,106.714,0.0,1.0,0.0,1.0,37688.643280275995,37688.643280275995,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.0012307719998716493
undirected9.edgelist,undirected,kols,0.2,19,22,18,0.8181818181818182,True,True,106.714,108.828,0.0,1.0073213664776683,0.0005360923796073456,1.1898177247014454,37688.643280275995,25485.037016463004,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.3157894736842105,0.5789473684210527,0.05263157894736842,,0.05263157894736842,,0.00027916100043512415,0.0011729620000551222
undirected9.edgelist,undirected,random,0.2,19,22,4,0.18181818181818182,True,False,106.714,inf,0.9707602339181286,2.3010703363914375,6.771136080950913,7.505351681957188,37688.643280275995,4389.606350806998,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,0.631578947368421,0.3157894736842105,0.05263157894736842,,,,,4.389299920148915e-05,0.0008099509996100096
undirected9.edgelist,undirected,k_neighbor,0.2,19,22,15,0.6818181818181818,True,False,106.714,inf,0.7192982456140351,2.3118722303644357,11.947354895904974,22.217932752179326,37688.643280275995,35716.523212769,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.42105263157894735,0.5789473684210527,,,,,0.0008553070001653396,0.0008487650002280134
undirected9.edgelist,undirected,local_degree,0.2,19,22,17,0.7727272727272727,True,False,106.714,inf,0.2807017543859649,1.1624788204046745,0.22044058350107804,4.952745849297574,37688.643280275995,29261.101221997,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.42105263157894735,0.47368421052631576,0.05263157894736842,,0.05263157894736842,,0.00015133800025068922,0.0010465410005053855
undirected9.edgelist,undirected,mst,0.2,19,22,18,0.8181818181818182,True,True,106.714,108.828,0.0,1.0073213664776683,0.0005360923796073456,1.1898177247014454,37688.643280275995,25485.037016463004,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.3157894736842105,0.5789473684210527,0.05263157894736842,,0.05263157894736842,,0.00010807499984366586,0.0011589949999688542
undirected9.edgelist,undirected,t_spanner,0.2,19,22,18,0.8181818181818182,True,True,106.714,108.828,0.0,1.0073213664776683,0.0005360923796073456,1.1898177247014454,37688.643280275995,25485.037016463004,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.05263157894736842,0.05263157894736842,,,0.3157894736842105,0.5789473684210527,0.05263157894736842,,0.05263157894736842,,0.0002597440006866236,0.0011741939997591544
